Point ID,vel_0,vel_1
0,0.0136834,0.0136834
1,0.0138686,0.0138686
2,0.0140529,0.0140529
3,0.0138686,0.0138686
4,0.0137285,0.0137285
5,0.0139134,0.0139134
6,0.0139134,0.0139134
7,0.0137285,0.0137285
8,0.0137735,0.0137735
9,0.0144509,0.0144509
10,0.0146335,0.0146335
11,0.0141088,0.0141088
12,0.0144952,0.0144952
13,0.0142923,0.0142923
14,0.0141534,0.0141534
15,0.0154316,0.0154316
16,0.0156124,0.0156124
17,0.0148933,0.0148933
18,0.0154754,0.0154754
19,0.015075,0.015075
20,0.0149374,0.0149374
21,0.0167665,0.0167665
22,0.0169457,0.0169457
23,0.016059,0.016059
24,0.0168097,0.0168097
25,0.0162389,0.0162389
26,0.0161025,0.0161025
27,0.0183805,0.0183805
28,0.0185589,0.0185589
29,0.017544,0.017544
30,0.0184234,0.0184234
31,0.0177227,0.0177227
32,0.017587,0.017587
33,0.020186,0.020186
34,0.0203638,0.0203638
35,0.0192649,0.0192649
36,0.0202285,0.0202285
37,0.019443,0.019443
38,0.0193076,0.0193076
39,0.0220958,0.0220958
40,0.0222734,0.0222734
41,0.021133,0.021133
42,0.022138,0.022138
43,0.0213107,0.0213107
44,0.0211754,0.0211754
45,0.0240327,0.0240327
46,0.0242101,0.0242101
47,0.0230651,0.0230651
48,0.0240747,0.0240747
49,0.0232426,0.0232426
50,0.0231073,0.0231073
51,0.0259337,0.0259337
52,0.0261108,0.0261108
53,0.0249911,0.0249911
54,0.0259755,0.0259755
55,0.0251683,0.0251683
56,0.0250329,0.0250329
57,0.0277506,0.0277506
58,0.0279271,0.0279271
59,0.0268552,0.0268552
60,0.027792,0.027792
61,0.0270319,0.0270319
62,0.0268967,0.0268967
63,0.0294482,0.0294482
64,0.0296239,0.0296239
65,0.0286161,0.0286161
66,0.0294892,0.0294892
67,0.0287922,0.0287922
68,0.0286572,0.0286572
69,0.0310021,0.0310021
70,0.031177,0.031177
71,0.0302443,0.0302443
72,0.0310427,0.0310427
73,0.0304196,0.0304196
74,0.0302851,0.0302851
75,0.0323954,0.0323954
76,0.0325695,0.0325695
77,0.0317196,0.0317196
78,0.0324357,0.0324357
79,0.0318941,0.0318941
80,0.0317601,0.0317601
81,0.0336161,0.0336161
82,0.0337897,0.0337897
83,0.0330279,0.0330279
84,0.0336561,0.0336561
85,0.0332018,0.0332018
86,0.0330681,0.0330681
87,0.0346546,0.0346546
88,0.0348282,0.0348282
89,0.0341586,0.0341586
90,0.0346945,0.0346945
91,0.0343322,0.0343322
92,0.0341986,0.0341986
93,0.0355019,0.0355019
94,0.0356761,0.0356761
95,0.0351027,0.0351027
96,0.0355418,0.0355418
97,0.0352765,0.0352765
98,0.0351426,0.0351426
99,0.036148,0.036148
100,0.0363238,0.0363238
101,0.0358508,0.0358508
102,0.0361882,0.0361882
103,0.0360257,0.0360257
104,0.0358908,0.0358908
105,0.0365806,0.0365806
106,0.0367592,0.0367592
107,0.0363918,0.0363918
108,0.0366215,0.0366215
109,0.0365689,0.0365689
110,0.0364324,0.0364324
111,0.0367841,0.0367841
112,0.036967,0.036967
113,0.0367122,0.0367122
114,0.0368259,0.0368259
115,0.0368927,0.0368927
116,0.0367535,0.0367535
117,0.0367377,0.0367377
118,0.0369268,0.0369268
119,0.0367937,0.0367937
120,0.0367809,0.0367809
121,0.0369794,0.0369794
122,0.0368361,0.0368361
123,0.0364139,0.0364139
124,0.0366117,0.0366117
125,0.0366125,0.0366125
126,0.0364592,0.0364592
127,0.0368056,0.0368056
128,0.0366567,0.0366567
129,0.0357766,0.0357766
130,0.035986,0.035986
131,0.0361371,0.0361371
132,0.0358246,0.0358246
133,0.0363403,0.0363403
134,0.0361837,0.0361837
135,0.0347789,0.0347789
136,0.0350037,0.0350037
137,0.0353262,0.0353262
138,0.0348307,0.0348307
139,0.0355427,0.0355427
140,0.0353759,0.0353759
141,0.0333639,0.0333639
142,0.0336085,0.0336085
143,0.0341275,0.0341275
144,0.0334204,0.0334204
145,0.0343616,0.0343616
146,0.0341814,0.0341814
147,0.0314694,0.0314694
148,0.031739,0.031739
149,0.0324803,0.0324803
150,0.031532,0.031532
151,0.0327368,0.0327368
152,0.0325397,0.0325397
153,0.0290431,0.0290431
154,0.0293419,0.0293419
155,0.030325,0.030325
156,0.029113,0.029113
157,0.0306087,0.0306087
158,0.0303911,0.0303911
159,0.0260685,0.0260685
160,0.0263983,0.0263983
161,0.027623,0.027623
162,0.0261462,0.0261462
163,0.0279374,0.0279374
164,0.0276968,0.0276968
165,0.0225994,0.0225994
166,0.0229563,0.0229563
167,0.0243887,0.0243887
168,0.0226843,0.0226843
169,0.0247331,0.0247331
170,0.0244702,0.0244702
171,0.0187873,0.0187873
172,0.0191586,0.0191586
173,0.0207227,0.0207227
174,0.0188764,0.0188764
175,0.021089,0.021089
